dataset	split	embedding_model	condition_label	condition	candidate_top_n	beta	samples	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9	avg_recall	avg_violation	avg_recall_delta	avg_violation_delta	strict_recall_kept_all_k	avg_recall_kept	violation_lower_all_k	avg_violation_lower	mean_answer_rank	mean_trap_rank	recall_delta@3	violation_delta@3	recall_delta@5	violation_delta@5	recall_delta@7	violation_delta@7	recall_delta@9	violation_delta@9
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.3	3452	0.9241019698725376	0.936558516801854	0.9409038238702202	0.9461181923522596	0.4611819235225955	0.5425840092699884	0.5816917728852838	0.6152954808806489	0.936920625724218	0.5501882966396292	0.0003621089223638	-0.3285776361529547	False	True	True	True	57.484936268829664	547.4585747392816	0.007531865585168	-0.3638470451911935	-0.0011587485515642	-0.3363267670915412	-0.0037659327925839	-0.3174971031286211	-0.0011587485515642	-0.2966396292004635
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.31	3452	0.9238122827346466	0.9359791425260718	0.9411935110081112	0.9461181923522596	0.4452491309385863	0.5315758980301275	0.5680764774044033	0.5987833140208575	0.9367757821552724	0.5359212050984936	0.0002172653534183	-0.3428447276940903	False	True	True	True	58.46871378910777	600.5280996523754	0.0072421784472769	-0.3797798377752027	-0.0017381228273464	-0.3473348783314021	-0.0034762456546929	-0.3311123986095017	-0.0011587485515642	-0.3131517960602549
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.32	3452	0.9243916570104288	0.9356894553881808	0.9409038238702202	0.9458285052143685	0.4287369640787949	0.5165121668597914	0.5538818076477404	0.5814020857473928	0.9367033603707996	0.5201332560834299	0.0001448435689455	-0.3586326767091541	False	True	True	True	59.68250289687138	660.4872537659328	0.007821552723059	-0.3962920046349941	-0.0020278099652375	-0.3623986095017382	-0.0037659327925839	-0.3453070683661645	-0.0014484356894554	-0.3305330243337195
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.33	3452	0.9229432213209734	0.9353997682502896	0.9409038238702202	0.9458285052143685	0.4130938586326767	0.4988412514484356	0.541135573580533	0.5686558516801854	0.936268829663963	0.5054316338354576	-0.000289687137891	-0.3733342989571263	False	False	True	True	61.0553302433372	727.975955967555	0.0063731170336037	-0.4119351100811123	-0.0023174971031285	-0.3800695249130939	-0.0037659327925839	-0.3580533024333719	-0.0014484356894554	-0.343279258400927
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.34	3452	0.9223638470451913	0.9342410196987254	0.9406141367323292	0.9455388180764774	0.4026651216685979	0.4834878331402086	0.5266512166859791	0.5550405561993047	0.9356894553881808	0.4919611819235225	-0.0008690614136732	-0.3868047508690614	False	False	True	True	62.5683661645423	803.8374855156432	0.0057937427578215	-0.4223638470451911	-0.0034762456546928	-0.395422943221321	-0.004055619930475	-0.3725376593279258	-0.0017381228273464	-0.3568945538818077
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.35	3452	0.9212050984936268	0.9339513325608344	0.9400347624565468	0.9452491309385864	0.3861529548088065	0.4687137891077636	0.5121668597914253	0.5396871378910776	0.9351100811123986	0.4766801853997682	-0.0014484356894554	-0.4020857473928158	False	False	True	True	64.30677867902665	889.2108922363847	0.0046349942062572	-0.4388760139049825	-0.0037659327925839	-0.4101969872537659	-0.0046349942062572	-0.3870220162224796	-0.0020278099652375	-0.3722479721900348
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.36	3452	0.9209154113557358	0.933082271147161	0.9394553881807648	0.9438006952491308	0.3739860950173812	0.4530706836616454	0.4921784472769409	0.5240440324449595	0.9343134414831982	0.4608198146002317	-0.0022450753186558	-0.4179461181923523	False	False	True	True	66.2433371958285	984.7387022016222	0.0043453070683662	-0.4510428736964078	-0.0046349942062572	-0.4258400926998841	-0.0052143684820393	-0.4070104287369641	-0.0034762456546929	-0.3878910776361529
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.37	3452	0.9209154113557358	0.93279258400927	0.9391657010428736	0.9426419466975666	0.354577056778679	0.4359791425260718	0.4774044032444959	0.5063731170336037	0.9338789107763616	0.4435834298957126	-0.0026796060254924	-0.4351825028968713	False	False	True	True	68.5095596755504	1091.6790266512166	0.0043453070683662	-0.47045191193511	-0.0049246813441482	-0.4429316338354577	-0.0055040556199305	-0.421784472769409	-0.0046349942062572	-0.4055619930475087
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.38	3452	0.9203360370799536	0.93279258400927	0.9385863267670916	0.9426419466975666	0.3403823870220162	0.4209154113557358	0.4643684820393974	0.4901506373117034	0.9335892236384704	0.4289542294322132	-0.0029692931633835	-0.4498117033603708	False	False	True	True	71.02201622247972	1210.9655272305909	0.0037659327925839	-0.4846465816917728	-0.0049246813441482	-0.4579953650057938	-0.0060834298957126	-0.4348203939745075	-0.0046349942062572	-0.421784472769409
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.39	3452	0.9194669756662804	0.9325028968713788	0.9385863267670916	0.9423522595596756	0.3293742757821553	0.4046929316338354	0.4466975666280417	0.4768250289687138	0.9332271147161066	0.4143974507531865	-0.0033314020857473	-0.4643684820393974	False	False	True	True	73.80359212050985	1344.5535921205098	0.0028968713789108	-0.4956546929316338	-0.0052143684820393	-0.4742178447276941	-0.0060834298957126	-0.4524913093858632	-0.0049246813441483	-0.4351100811123986
