embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
text-embedding-3-small	baseline - q_trap	10	0.25	0.3	0.5	0.236	0.09525	0.14075	0.596398	0.917	0.87125	-0.04575	0.888	0.81	0.062	0.036	0.943	0.926	0.483	0.206
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.5	0.75	0.1855	0.04475	0.14075	0.75876	0.92825	0.88325	-0.045	0.913	0.863	0.144	0.038	0.938	0.898	0.221	0.051
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	2	0.5	0.75	0.46125	0.321	0.14025	0.304065	0.941	0.93675	-0.00425	0.929	0.923	0.403	0.265	0.951	0.945	0.505	0.364
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	1.5	0.3	0.5	0.55225	0.4125	0.13975	0.253056	0.94225	0.94075	-0.0015	0.932	0.933	0.491	0.357	0.951	0.951	0.596	0.452
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.75	0.2	0.3	0.481	0.34175	0.13925	0.289501	0.942	0.93725	-0.00475	0.933	0.928	0.428	0.286	0.951	0.946	0.524	0.382
text-embedding-3-small	baseline - q_trap	10	0.75	0.3	0.5	0.7215	0.58275	0.13875	0.192308	0.94575	0.944	-0.00175	0.931	0.925	0.622	0.452	0.958	0.957	0.815	0.722
Qwen/Qwen3-Embedding-4B	baseline - q_trap	10	0.75	0.5	0.75	0.41975	0.281	0.13875	0.330554	0.9395	0.92925	-0.01025	0.929	0.903	0.344	0.125	0.951	0.947	0.519	0.42
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.5	0.5	0.75	0.17875	0.04025	0.1385	0.774825	0.9195	0.84725	-0.07225	0.892	0.804	0.075	0.028	0.939	0.877	0.267	0.05
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.75	0.1	0.2	0.61775	0.481	0.13675	0.221368	0.9445	0.942	-0.0025	0.936	0.933	0.556	0.428	0.951	0.951	0.664	0.524
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	2	0.75	1	0.321	0.1855	0.1355	0.422118	0.93675	0.92825	-0.0085	0.923	0.913	0.265	0.144	0.945	0.938	0.364	0.221
